"Timestamp","Lamp1","Lamp2","Lamp3","Lux","ColorTemperature","Red","Green","Blue",
1588061964531,0,0,0,330,5305,678,670,692,
1588061994945,0,0,0,337,5252,696,683,703,
1588062025458,0,0,0,346,5201,725,705,725,
1588062055873,0,0,0,370,5134,780,752,770,
1588062086387,0,0,0,415,5024,894,848,864,
1588062116800,0,0,0,564,4782,1236,1140,1139,
1588062147216,0,0,0,1318,4188,3098,2653,2546,
1588062177832,0,0,0,769,4640,1718,1556,1542,
1588062208250,0,0,0,1763,4093,4198,3553,3390,
1588062238702,0,0,0,1721,4141,4075,3470,3324,
1588062269286,0,0,0,786,4807,1723,1593,1597,
1588062299693,0,0,0,686,4991,1480,1399,1422,
1588062330207,0,0,0,702,5055,1501,1431,1460,
1588062360724,0,0,0,717,5110,1532,1468,1506,
1588062391135,0,0,0,792,5090,1697,1622,1662,
1588062421555,0,0,0,994,5000,2127,2017,2048,
1588062451968,0,0,0,1264,4890,2720,2550,2565,
1588062482378,0,0,0,1323,5087,2754,2655,2696,
1588062512790,0,0,0,1800,4890,3820,3598,3604,
1588062543306,0,0,0,2030,4858,4320,4054,4052,
1588062573722,0,0,0,2787,4541,6201,5583,5481,
1588062604137,0,0,0,2450,4728,5315,4901,4864,
1588062634552,0,0,0,1726,5290,3482,3452,3541,
1588062665064,0,0,0,2603,4729,5659,5215,5179,
1588062695374,0,0,0,1731,5406,3447,3467,3582,
1588062725887,0,0,0,1514,5753,2884,3035,3197,
1588062756304,0,0,0,1599,5695,3063,3203,3363,
1588062786820,0,0,0,2337,5043,4866,4671,4721,
1588062817335,0,0,0,2642,4862,5657,5295,5299,
1588062847850,0,0,0,2408,4999,5077,4834,4882,
1588062878160,0,0,0,1654,5670,3197,3329,3501,
1588062908780,0,0,0,1525,5879,2861,3066,3259,
1588062939192,0,0,0,1499,5815,2835,3013,3191,
1588062969708,0,0,0,1672,5529,3279,3355,3495,
1588063000122,0,0,0,1751,5456,3460,3507,3635,
1588063030636,0,0,0,2046,5238,4161,4096,4191,
1588063061152,0,0,0,2721,4830,5842,5447,5437,
1588063091568,0,0,0,2843,4729,6206,5704,5663,
1588063121982,0,0,0,2822,4722,6169,5663,5620,
1588063152395,0,0,0,2785,4705,6113,5596,5551,
1588063182806,0,0,0,2541,4798,5505,5103,5090,
1588063213219,0,0,0,1550,5632,2989,3106,3254,
1588063243638,0,0,0,1862,5328,3737,3725,3831,
1588063274048,0,0,0,2468,4881,5273,4946,4955,
